r,c,diag1,diag2
24,108,SAM,SAM
24,120,MAS,SAM
24,122,SAM,MAS
24,138,MAS,MAS
25,2,SAM,MAS
25,16,MAS,MAS
25,25,SAM,SAM
25,34,SAM,SAM
25,37,SAM,SAM
25,44,MAS,MAS
25,66,MAS,SAM
25,70,SAM,SAM
25,83,SAM,SAM
25,92,MAS,MAS
25,122,SAM,MAS
25,124,MAS,SAM
25,125,SAM,SAM
25,126,SAM,MAS
25,127,SAM,SAM
25,128,MAS,SAM
25,134,SAM,SAM
25,135,SAM,MAS
26,2,MAS,SAM
26,4,SAM,MAS
26,21,SAM,SAM
26,30,SAM,MAS
26,52,MAS,MAS
26,108,MAS,MAS
27,16,SAM,SAM
27,25,MAS,MAS
27,41,SAM,SAM
27,44,SAM,SAM
27,54,SAM,SAM
27,56,SAM,SAM
27,61,SAM,SAM
27,90,SAM,SAM
27,100,SAM,MAS
27,127,MAS,MAS
27,136,MAS,MAS
27,138,MAS,MAS
28,2,MAS,SAM
28,5,SAM,SAM
28,7,SAM,SAM
28,12,MAS,SAM
28,14,SAM,MAS
28,19,MAS,MAS
28,21,MAS,MAS
28,25,SAM,MAS
28,29,MAS,MAS
28,32,MAS,MAS
28,46,MAS,SAM
28,48,SAM,MAS
28,49,SAM,SAM
28,70,MAS,SAM
28,77,SAM,SAM
29,14,SAM,MAS
29,19,SAM,MAS
29,23,SAM,SAM
29,25,SAM,SAM
29,42,MAS,MAS
29,51,MAS,MAS
29,59,MAS,MAS
29,65,SAM,MAS
29,67,MAS,SAM
29,84,MAS,MAS
29,87,MAS,SAM
29,98,MAS,SAM
29,100,SAM,MAS
29,121,MAS,SAM
29,126,SAM,SAM
29,130,MAS,SAM
30,1,SAM,MAS
30,2,MAS,SAM
30,19,SAM,SAM
30,25,SAM,MAS
30,27,MAS,SAM
30,28,MAS,MAS
30,32,SAM,SAM
30,35,SAM,MAS
30,36,SAM,MAS
30,92,MAS,MAS
30,94,MAS,MAS
30,114,MAS,MAS
31,12,MAS,SAM
31,38,SAM,MAS
31,40,MAS,SAM
31,46,MAS,MAS
31,50,MAS,SAM
31,55,MAS,SAM
31,59,SAM,SAM
31,60,MAS,MAS
31,61,SAM,SAM
31,62,MAS,MAS
31,64,MAS,MAS
31,72,SAM,MAS
31,82,SAM,SAM
31,92,SAM,MAS
31,96,SAM,MAS
31,98,MAS,SAM
31,100,SAM,MAS
31,103,MAS,SAM
31,109,MAS,MAS
31,117,MAS,SAM
31,118,MAS,MAS
31,119,SAM,MAS
31,126,MAS,MAS
31,128,MAS,MAS
32,10,SAM,SAM
32,25,SAM,MAS
32,75,MAS,SAM
32,77,SAM,MAS
32,89,SAM,MAS
32,92,SAM,SAM
32,94,SAM,SAM
32,98,SAM,MAS
32,121,MAS,SAM
33,19,MAS,MAS
33,23,MAS,SAM
33,33,SAM,MAS
33,42,SAM,SAM
33,44,SAM,SAM
33,45,MAS,MAS
33,46,SAM,SAM
33,57,SAM,MAS
33,63,MAS,MAS
33,70,SAM,SAM
33,92,SAM,MAS
33,105,SAM,SAM
33,118,SAM,SAM
33,121,MAS,MAS
33,123,MAS,MAS
33,125,MAS,MAS
33,129,SAM,SAM
33,130,SAM,MAS
34,10,MAS,MAS
34,54,SAM,MAS
34,89,SAM,MAS
34,90,SAM,MAS
34,98,SAM,MAS
34,107,MAS,MAS
34,121,MAS,SAM
35,3,MAS,SAM
35,5,SAM,MAS
35,16,SAM,MAS
35,18,MAS,SAM
35,25,SAM,SAM
35,28,MAS,SAM
35,30,SAM,MAS
35,32,MAS,SAM
35,33,SAM,MAS
35,35,MAS,SAM
35,36,MAS,MAS
35,37,SAM,MAS
35,41,MAS,SAM
35,45,SAM,SAM
35,64,MAS,MAS
35,65,SAM,SAM
35,77,SAM,SAM
35,81,SAM,MAS
35,84,MAS,SAM
35,123,SAM,SAM
35,125,SAM,SAM
35,130,SAM,MAS
36,49,SAM,MAS
36,50,MAS,MAS
36,51,MAS,SAM
36,53,SAM,MAS
36,55,MAS,SAM
36,57,SAM,MAS
36,79,SAM,SAM
36,81,SAM,SAM
36,88,SAM,SAM
36,92,MAS,SAM
36,97,MAS,SAM
36,98,SAM,MAS
36,107,SAM,SAM
36,118,SAM,MAS
36,133,SAM,SAM
36,134,MAS,MAS
36,135,SAM,SAM
36,136,MAS,MAS
37,2,MAS,MAS
37,8,SAM,MAS
37,12,MAS,MAS
37,13,MAS,SAM
37,15,SAM,MAS
37,16,SAM,MAS
37,23,SAM,MAS
37,33,SAM,MAS
37,38,SAM,MAS
37,42,MAS,SAM
37,44,SAM,MAS
37,57,SAM,SAM
37,64,SAM,SAM
37,74,MAS,SAM
37,76,SAM,MAS
37,79,MAS,SAM
37,122,SAM,MAS
37,123,MAS,MAS
37,138,MAS,MAS
38,2,SAM,MAS
38,21,MAS,SAM
38,38,MAS,SAM
38,88,MAS,MAS
38,92,MAS,SAM
38,96,SAM,SAM
38,97,MAS,SAM
38,99,SAM,MAS
38,104,MAS,SAM
38,105,MAS,MAS
38,107,MAS,MAS
38,128,MAS,SAM
38,134,SAM,SAM
38,136,SAM,SAM
38,138,SAM,SAM
39,6,SAM,SAM
39,16,SAM,MAS
39,31,SAM,SAM
39,49,MAS,MAS
39,53,MAS,SAM
39,55,SAM,MAS
39,58,MAS,MAS
39,59,MAS,MAS
39,70,MAS,MAS
39,74,MAS,SAM
39,78,MAS,MAS
39,80,MAS,MAS
39,128,MAS,SAM
40,23,SAM,SAM
40,65,MAS,MAS
40,82,MAS,SAM
40,100,SAM,MAS
40,105,SAM,SAM
40,109,SAM,MAS
40,122,MAS,MAS
41,2,SAM,SAM
41,16,SAM,MAS
41,21,SAM,SAM
41,40,MAS,MAS
41,57,MAS,SAM
41,60,SAM,SAM
41,61,SAM,SAM
41,78,SAM,SAM
41,111,MAS,MAS
41,113,MAS,MAS
41,126,MAS,MAS
42,6,SAM,SAM
42,18,MAS,MAS
42,19,SAM,MAS
42,28,SAM,SAM
42,65,SAM,SAM
42,82,MAS,SAM
42,86,SAM,MAS
42,88,MAS,SAM
42,90,SAM,MAS
42,95,MAS,MAS
42,100,SAM,MAS
43,54,MAS,SAM
43,57,MAS,SAM
43,59,SAM,MAS
43,70,SAM,SAM
43,71,SAM,SAM
43,90,SAM,MAS
43,104,MAS,SAM
43,106,SAM,MAS
43,126,SAM,SAM
43,135,SAM,SAM
43,137,SAM,SAM
44,16,SAM,SAM
44,18,SAM,SAM
44,26,SAM,MAS
44,31,MAS,SAM
44,33,SAM,MAS
44,39,MAS,MAS
44,45,SAM,MAS
44,48,MAS,SAM
44,74,MAS,SAM
44,117,SAM,MAS
44,123,MAS,MAS
45,1,SAM,SAM
45,8,MAS,MAS
45,20,MAS,SAM
45,53,MAS,MAS
45,55,MAS,MAS
45,69,MAS,MAS
45,79,MAS,SAM
45,84,SAM,SAM
45,108,MAS,SAM
45,110,SAM,MAS
45,115,MAS,SAM
45,123,MAS,SAM
46,16,MAS,MAS
46,27,SAM,MAS
46,39,SAM,SAM
46,42,SAM,SAM
46,44,SAM,SAM
46,45,SAM,MAS
46,61,MAS,SAM
46,65,SAM,MAS
46,84,MAS,MAS
46,86,MAS,MAS
46,97,SAM,MAS
46,106,MAS,SAM
46,108,SAM,MAS
46,123,SAM,SAM
46,125,SAM,SAM
47,3,MAS,MAS
47,4,MAS,MAS
47,55,SAM,SAM
47,80,SAM,MAS
47,94,SAM,MAS
47,101,SAM,SAM
47,115,MAS,SAM
47,117,SAM,MAS
47,118,MAS,MAS
47,137,MAS,MAS
48,27,SAM,MAS
48,38,SAM,SAM
48,43,MAS,SAM
48,49,SAM,MAS
48,66,MAS,MAS
48,73,SAM,SAM
48,75,SAM,SAM
48,85,MAS,MAS
48,96,MAS,SAM
48,125,MAS,MAS
48,135,MAS,SAM
49,1,MAS,SAM
49,2,MAS,SAM
49,5,SAM,MAS
49,22,SAM,SAM
49,30,MAS,SAM
49,32,SAM,MAS
49,34,MAS,SAM
49,66,MAS,SAM
49,85,MAS,MAS
49,100,SAM,MAS
49,101,MAS,MAS
49,115,MAS,SAM
49,118,SAM,SAM
49,135,SAM,SAM
49,137,SAM,SAM
49,138,MAS,SAM
50,9,SAM,MAS
50,13,SAM,SAM
50,14,SAM,SAM
50,16,SAM,SAM
50,36,MAS,MAS
50,38,MAS,MAS
50,45,SAM,SAM
50,47,SAM,SAM
50,62,SAM,MAS
50,75,MAS,MAS
50,77,MAS,MAS
50,85,SAM,SAM
50,96,MAS,SAM
50,109,SAM,SAM
50,111,SAM,SAM
50,120,MAS,SAM
50,122,SAM,MAS
50,129,MAS,SAM
51,4,SAM,SAM
51,11,SAM,MAS
51,32,SAM,MAS
51,36,SAM,MAS
51,43,SAM,SAM
51,55,MAS,MAS
51,73,MAS,MAS
51,90,SAM,MAS
51,93,SAM,MAS
51,101,SAM,SAM
51,115,MAS,SAM
51,116,MAS,MAS
51,117,SAM,MAS
51,118,MAS,MAS
52,7,MAS,SAM
52,11,MAS,MAS
52,13,MAS,MAS
52,23,SAM,MAS
52,34,SAM,SAM
52,36,SAM,SAM
52,38,SAM,SAM
52,60,MAS,SAM
52,64,MAS,MAS
52,75,SAM,SAM
52,77,SAM,SAM
52,96,MAS,SAM
52,110,MAS,SAM
52,127,MAS,MAS
53,2,SAM,MAS
53,13,MAS,MAS
53,30,SAM,SAM
53,38,MAS,SAM
53,53,MAS,SAM
53,58,MAS,SAM
53,64,MAS,SAM
53,73,SAM,SAM
53,92,MAS,MAS
53,93,SAM,MAS
53,98,MAS,MAS
53,117,SAM,MAS
53,121,MAS,MAS
53,123,MAS,MAS
53,124,SAM,MAS
53,125,MAS,MAS
53,136,SAM,MAS
54,11,SAM,SAM
54,13,SAM,SAM
54,18,SAM,SAM
54,42,SAM,SAM
54,62,SAM,SAM
54,69,SAM,SAM
54,81,SAM,MAS
54,85,MAS,MAS
54,134,SAM,MAS
55,1,SAM,MAS
55,8,MAS,MAS
55,13,SAM,SAM
55,29,MAS,MAS
55,55,SAM,MAS
55,60,SAM,SAM
55,73,MAS,MAS
55,92,SAM,SAM
55,93,SAM,MAS
55,101,SAM,MAS
55,114,SAM,MAS
55,120,MAS,SAM
55,121,SAM,SAM
55,124,SAM,MAS
55,134,SAM,SAM
55,138,MAS,SAM
56,8,MAS,SAM
56,10,SAM,MAS
56,43,SAM,MAS
56,77,MAS,MAS
56,80,MAS,SAM
56,85,SAM,SAM
56,97,MAS,MAS
56,110,SAM,SAM
56,130,MAS,MAS
57,2,MAS,MAS
57,12,MAS,MAS
57,21,MAS,MAS
57,37,MAS,SAM
57,39,SAM,MAS
57,51,SAM,SAM
57,55,SAM,MAS
57,59,MAS,SAM
57,60,MAS,MAS
57,90,SAM,MAS
57,101,SAM,MAS
58,4,SAM,SAM
58,10,SAM,MAS
58,19,SAM,SAM
58,21,SAM,SAM
58,43,SAM,MAS
58,78,SAM,MAS
58,115,MAS,SAM
58,138,SAM,SAM
59,33,MAS,SAM
59,35,SAM,MAS
59,37,MAS,SAM
59,39,SAM,MAS
59,40,SAM,MAS
59,41,MAS,SAM
59,59,MAS,SAM
59,61,SAM,MAS
59,69,MAS,SAM
59,73,SAM,MAS
59,85,SAM,SAM
59,104,SAM,MAS
59,107,SAM,MAS
59,126,MAS,MAS
59,132,SAM,MAS
60,2,MAS,MAS
60,6,MAS,SAM
60,14,MAS,SAM
60,16,SAM,MAS
60,27,SAM,SAM
60,29,SAM,SAM
60,63,MAS,SAM
60,67,MAS,SAM
60,69,SAM,MAS
60,107,SAM,MAS
60,114,SAM,SAM
60,116,SAM,SAM
60,120,MAS,SAM
60,124,SAM,SAM
60,132,MAS,SAM
60,136,SAM,MAS
61,10,SAM,SAM
61,40,SAM,MAS
61,73,SAM,MAS
61,76,SAM,MAS
61,87,MAS,SAM
61,89,SAM,MAS
61,93,MAS,MAS
61,105,MAS,SAM
62,10,MAS,SAM
62,14,MAS,SAM
62,15,SAM,SAM
62,16,SAM,MAS
62,21,SAM,SAM
62,40,MAS,MAS
62,63,MAS,SAM
62,76,SAM,MAS
62,93,MAS,SAM
62,95,SAM,MAS
62,99,MAS,SAM
62,103,MAS,SAM
62,107,SAM,MAS
62,122,SAM,MAS
63,18,MAS,MAS
63,28,MAS,MAS
63,33,SAM,MAS
63,36,MAS,SAM
63,52,SAM,MAS
63,59,MAS,MAS
63,67,SAM,SAM
63,82,MAS,MAS
63,83,MAS,MAS
63,84,MAS,MAS
63,105,MAS,SAM
63,132,MAS,MAS
64,2,SAM,SAM
64,4,SAM,SAM
64,6,SAM,SAM
64,10,MAS,SAM
64,11,MAS,SAM
64,12,SAM,MAS
64,13,SAM,MAS
64,16,SAM,MAS
64,18,MAS,SAM
64,26,SAM,SAM
64,40,SAM,SAM
64,65,SAM,MAS
64,67,MAS,SAM
64,73,MAS,MAS
64,93,MAS,SAM
64,95,SAM,MAS
64,99,MAS,SAM
64,101,SAM,MAS
64,119,MAS,SAM
64,121,SAM,MAS
64,123,MAS,SAM
65,18,SAM,SAM
65,52,SAM,MAS
65,55,SAM,MAS
65,56,SAM,SAM
65,57,MAS,SAM
65,63,MAS,MAS
65,73,MAS,MAS
65,81,MAS,SAM
65,84,SAM,SAM
65,89,MAS,SAM
65,93,SAM,MAS
65,95,MAS,SAM
65,97,SAM,MAS
65,132,SAM,SAM
66,6,MAS,MAS
66,11,MAS,SAM
66,13,SAM,MAS
66,22,MAS,MAS
66,27,MAS,MAS
66,75,SAM,MAS
66,119,MAS,SAM
66,123,MAS,SAM
66,125,SAM,MAS
66,130,SAM,SAM
66,137,SAM,SAM
67,2,SAM,MAS
67,4,MAS,SAM
67,20,MAS,SAM
67,22,SAM,MAS
67,45,MAS,MAS
67,48,SAM,MAS
67,50,MAS,SAM
67,63,SAM,SAM
67,85,SAM,SAM
67,110,SAM,MAS
67,113,SAM,SAM
67,115,SAM,SAM
67,125,MAS,MAS
67,130,SAM,MAS
68,20,SAM,SAM
68,24,SAM,MAS
68,36,MAS,MAS
68,41,SAM,SAM
68,79,MAS,MAS
68,83,SAM,MAS
68,85,MAS,SAM
68,87,SAM,MAS
68,97,SAM,MAS
68,121,SAM,MAS
69,2,SAM,MAS
69,34,MAS,SAM
69,45,SAM,SAM
69,46,SAM,SAM
69,47,SAM,SAM
69,49,SAM,SAM
69,51,SAM,SAM
69,52,SAM,SAM
69,81,SAM,SAM
69,102,SAM,SAM
69,110,SAM,MAS
69,112,MAS,SAM
69,114,SAM,MAS
69,132,MAS,SAM
70,7,MAS,MAS
70,10,SAM,MAS
70,13,MAS,MAS
70,29,SAM,SAM
70,36,SAM,SAM
70,59,MAS,SAM
70,60,SAM,MAS
70,73,MAS,MAS
70,75,MAS,MAS
70,78,SAM,MAS
70,84,MAS,MAS
70,92,SAM,SAM
70,94,SAM,SAM
70,119,MAS,SAM
70,121,SAM,MAS
70,130,MAS,SAM
71,15,SAM,SAM
71,17,SAM,SAM
71,18,MAS,MAS
71,20,MAS,MAS
71,32,MAS,MAS
71,44,MAS,MAS
71,48,MAS,MAS
71,49,MAS,MAS
71,50,MAS,MAS
71,123,SAM,SAM
71,137,SAM,SAM
72,7,SAM,SAM
72,9,SAM,SAM
72,11,SAM,SAM
72,13,SAM,SAM
72,28,SAM,MAS
72,30,MAS,SAM
72,76,SAM,SAM
72,77,SAM,SAM
72,81,MAS,MAS
72,83,MAS,MAS
72,114,SAM,MAS
73,20,SAM,SAM
73,24,MAS,SAM
73,25,SAM,MAS
73,42,SAM,SAM
73,44,SAM,SAM
73,48,SAM,SAM
73,69,MAS,SAM
73,95,SAM,MAS
73,110,SAM,SAM
73,116,MAS,SAM
74,2,MAS,MAS
74,4,MAS,MAS
74,6,MAS,MAS
74,7,MAS,MAS
74,8,MAS,MAS
74,40,MAS,SAM
74,55,SAM,MAS
74,62,SAM,MAS
74,75,MAS,MAS
74,78,MAS,SAM
74,82,SAM,SAM
74,83,SAM,SAM
74,88,MAS,SAM
74,90,SAM,MAS
74,99,SAM,MAS
74,106,MAS,SAM
74,113,MAS,SAM
74,137,MAS,MAS
75,15,MAS,SAM
75,17,SAM,MAS
75,21,MAS,SAM
75,22,MAS,MAS
75,32,MAS,SAM
75,37,MAS,MAS
75,38,SAM,SAM
75,58,MAS,SAM
75,60,SAM,MAS
75,66,MAS,SAM
75,96,SAM,MAS
76,2,SAM,SAM
76,5,SAM,SAM
76,7,SAM,SAM
76,8,SAM,SAM
76,11,MAS,SAM
76,42,SAM,SAM
76,48,SAM,MAS
76,72,MAS,MAS
76,73,SAM,SAM
76,75,SAM,SAM
76,76,MAS,MAS
76,77,SAM,SAM
76,102,MAS,MAS
76,108,SAM,MAS
76,110,MAS,SAM
76,112,SAM,MAS
76,115,SAM,MAS
76,123,MAS,SAM
76,125,SAM,MAS
76,138,MAS,MAS
77,13,SAM,MAS
77,15,MAS,SAM
77,17,SAM,MAS
77,38,MAS,MAS
77,40,MAS,MAS
77,60,SAM,MAS
77,65,MAS,MAS
77,70,SAM,MAS
77,82,SAM,SAM
77,96,SAM,MAS
77,133,MAS,SAM
78,1,MAS,SAM
78,3,SAM,MAS
78,4,MAS,SAM
78,6,SAM,MAS
78,13,SAM,MAS
78,19,MAS,MAS
78,29,MAS,MAS
78,47,SAM,MAS
78,52,SAM,MAS
78,53,SAM,MAS
78,72,SAM,SAM
78,74,SAM,SAM
78,75,MAS,MAS
78,82,MAS,SAM
78,101,MAS,MAS
78,104,SAM,SAM
78,105,SAM,SAM
78,106,SAM,SAM
78,113,SAM,SAM
78,117,MAS,SAM
78,119,SAM,MAS
78,120,MAS,SAM
78,122,SAM,MAS
79,13,SAM,MAS
79,15,MAS,SAM
79,23,MAS,MAS
79,40,SAM,SAM
79,42,SAM,SAM
79,63,SAM,SAM
79,88,MAS,MAS
79,117,MAS,SAM
79,131,SAM,MAS
79,133,MAS,SAM
80,5,MAS,MAS
80,7,MAS,MAS
80,25,MAS,MAS
80,29,SAM,SAM
80,33,SAM,MAS
80,34,SAM,SAM
80,45,MAS,SAM
80,48,SAM,SAM
80,49,MAS,MAS
80,50,SAM,SAM
80,53,SAM,MAS
80,55,MAS,SAM
80,78,MAS,MAS
80,80,MAS,MAS
80,101,SAM,SAM
80,113,MAS,MAS
80,131,MAS,MAS
81,13,SAM,MAS
81,15,MAS,SAM
81,25,SAM,SAM
81,38,MAS,MAS
81,67,SAM,SAM
81,105,SAM,SAM
81,111,SAM,MAS
81,117,MAS,SAM
81,124,SAM,SAM
81,125,MAS,MAS
81,129,MAS,SAM
81,131,SAM,MAS
81,135,SAM,SAM
82,7,SAM,SAM
82,11,SAM,MAS
82,25,SAM,SAM
82,33,SAM,MAS
82,47,SAM,SAM
82,73,SAM,SAM
82,94,SAM,MAS
82,129,MAS,SAM
82,135,MAS,SAM
83,60,MAS,SAM
83,67,MAS,MAS
83,82,MAS,SAM
83,87,SAM,MAS
83,98,MAS,SAM
83,100,SAM,MAS
83,118,MAS,SAM
83,119,SAM,SAM
83,135,MAS,MAS
84,8,SAM,SAM
84,12,MAS,SAM
84,40,MAS,SAM
84,51,SAM,SAM
84,57,SAM,SAM
84,76,MAS,MAS
84,78,MAS,MAS
84,129,MAS,SAM
85,20,SAM,SAM
85,31,SAM,MAS
85,38,SAM,SAM
